USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  21464 13324 ?        Ss   15:51   0:02 /sbin/init splash noautomount splash
idiot       2130  0.0  0.2 495876 39448 ?        Sl   15:51   0:00 /usr/lib/mate-panel/notification-area-applet
idiot       2198  0.0  0.0 311504  8816 ?        Sl   15:51   0:00 /usr/libexec/gvfsd-trash --spawner :1.19 /org/gtk/gvfs/exec_spaw/0
idiot       2212  0.0  0.0  48548  7952 ?        Ss   15:51   0:00 /usr/libexec/bluetooth/obexd
idiot       2215  0.1  0.4 564344 66180 ?        Sl   15:51   0:18 /usr/bin/python3 /usr/bin/blueman-tray
idiot       2259  0.0  0.0 160236  6784 ?        Ssl  15:51   0:00 /usr/libexec/gvfsd-metadata
idiot       2282  0.1  0.4 746496 69952 ?        Sl   15:52   0:28 mate-terminal
idiot       2314  0.0  0.0   8288  5312 pts/0    Ss   15:52   0:00 bash
idiot       2352  5.8  5.1 12761904 727756 ?     Sl   15:52  15:03 /usr/lib/firefox-esr/firefox-esr
idiot       2359  0.0  0.0  20232  2692 ?        Sl   15:52   0:00 /usr/lib/firefox-esr/crashhelper 2352 9 /tmp/ 11
idiot       2452  0.0  0.3 244756 44132 ?        Sl   15:52   0:01 /usr/lib/firefox-esr/firefox-esr -contentproc -parentBuildID 20251009121631 -prefsHandle 0:37028 -prefMapHandle 1:276902 -sandboxReporter 2 -chrootClient 3 -ipcHandle 4 -initialChannelId {cc150d3f-e226-4cef-93a1-22e55ddcb25b} -parentPid 2352 -crashReporter 5 -crashHelper 6 -appDir /usr/lib/firefox-esr/browser 1 socket
idiot       2472  0.0  1.0 2506580 151072 ?      Sl   15:52   0:04 /usr/lib/firefox-esr/firefox-esr -contentproc -isForBrowser -prefsHandle 0:37131 -prefMapHandle 1:276902 -jsInitHandle 2:242716 -parentBuildID 20251009121631 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {f915084a-7dcc-4d42-b6ab-d302021803be} -parentPid 2352 -crashReporter 6 -crashHelper 7 -greomni /usr/lib/firefox-esr/omni.ja -appomni /usr/lib/firefox-esr/browser/omni.ja -appDir /usr/lib/firefox-esr/browser 2 tab
idiot       2477  0.1  0.8 701304 118724 ?       Sl   15:52   0:22 /usr/lib/firefox-esr/firefox-esr -contentproc -parentBuildID 20251009121631 -prefsHandle 0:37131 -prefMapHandle 1:276902 -sandboxReporter 2 -chrootClient 3 -ipcHandle 4 -initialChannelId {886f8c7b-61c3-455c-8e8b-fdf725d4e386} -parentPid 2352 -crashReporter 5 -crashHelper 6 -appDir /usr/lib/firefox-esr/browser 3 rdd
